10folds, Phase1,At fold 1, seed 96982,round 3 we find one with acc: 91.92546583850931, loss: 0.23146847399495404
10folds, Phase1,At fold 2, seed 96982,round 1 we find one with acc: 89.44099378881988, loss: 0.276175492298529
10folds, Phase1,At fold 2, seed 96982,round 2 we find one with acc: 89.44099378881988, loss: 0.2505123309837365
10folds, Phase1,At fold 2, seed 96982,round 3 we find one with acc: 89.44099378881988, loss: 0.2555769281172604
10folds, Phase1,At fold 3, seed 96982,round 1 we find one with acc: 94.40993788819875, loss: 0.14923823076468076
10folds, Phase1,At fold 3, seed 96982,round 2 we find one with acc: 93.7888198757764, loss: 0.18219644442108107
10folds, Phase1,At fold 3, seed 96982,round 3 we find one with acc: 93.16770186335404, loss: 0.16517525899761953
10folds, Phase1,At fold 4, seed 96982,round 1 we find one with acc: 93.125, loss: 0.2034619480371475
10folds, Phase1,At fold 4, seed 96982,round 2 we find one with acc: 94.375, loss: 0.1828589305281639
10folds, Phase1,At fold 4, seed 96982,round 3 we find one with acc: 93.125, loss: 0.20829747021198272
10folds, Phase1,At fold 5, seed 96982,round 1 we find one with acc: 92.5, loss: 0.23769424557685853
10folds, Phase1,At fold 5, seed 96982,round 2 we find one with acc: 92.5, loss: 0.18422516882419587
10folds, Phase1,At fold 5, seed 96982,round 3 we find one with acc: 92.5, loss: 0.2115163803100586
10folds, Phase1,At fold 6, seed 96982,round 1 we find one with acc: 90.625, loss: 0.22043806351721287
10folds, Phase1,At fold 6, seed 96982,round 2 we find one with acc: 95.0, loss: 0.21086201891303064
10folds, Phase1,At fold 6, seed 96982,round 3 we find one with acc: 93.125, loss: 0.22122880294919015
10folds, Phase1,At fold 7, seed 96982,round 1 we find one with acc: 93.125, loss: 0.2002941995859146
10folds, Phase1,At fold 7, seed 96982,round 2 we find one with acc: 95.625, loss: 0.18563816249370574
10folds, Phase1,At fold 7, seed 96982,round 3 we find one with acc: 93.125, loss: 0.19251881539821625
10folds, Phase1,At fold 8, seed 96982,round 1 we find one with acc: 94.375, loss: 0.17044058740139006
10folds, Phase1,At fold 8, seed 96982,round 2 we find one with acc: 93.125, loss: 0.16127943694591523
10folds, Phase1,At fold 8, seed 96982,round 3 we find one with acc: 91.875, loss: 0.20160910487174988
10folds, Phase1,At fold 9, seed 96982,round 1 we find one with acc: 90.0, loss: 0.25066191554069517
10folds, Phase1,At fold 9, seed 96982,round 2 we find one with acc: 92.5, loss: 0.2307302437722683
10folds, Phase1,At fold 9, seed 96982,round 3 we find one with acc: 93.75, loss: 0.2477234870195389
10folds, Phase1,At fold 0, seed 98809,round 1 we find one with acc: 93.7888198757764, loss: 0.19616314120914624
10folds, Phase1,At fold 0, seed 98809,round 2 we find one with acc: 95.03105590062111, loss: 0.19241951600365018
10folds, Phase1,At fold 0, seed 98809,round 3 we find one with acc: 93.7888198757764, loss: 0.21933237421586646
10folds, Phase1,At fold 1, seed 98809,round 1 we find one with acc: 91.92546583850931, loss: 0.20823289481749446
10folds, Phase1,At fold 1, seed 98809,round 2 we find one with acc: 93.16770186335404, loss: 0.15718839340698645
10folds, Phase1,At fold 1, seed 98809,round 3 we find one with acc: 91.92546583850931, loss: 0.21043719925125193
10folds, Phase1,At fold 2, seed 98809,round 1 we find one with acc: 94.40993788819875, loss: 0.1869034702016145
10folds, Phase1,At fold 2, seed 98809,round 2 we find one with acc: 92.54658385093168, loss: 0.19490561367053053
10folds, Phase1,At fold 2, seed 98809,round 3 we find one with acc: 94.40993788819875, loss: 0.1541541458240577
10folds, Phase1,At fold 3, seed 98809,round 1 we find one with acc: 94.40993788819875, loss: 0.20068563416785334
10folds, Phase1,At fold 3, seed 98809,round 2 we find one with acc: 92.54658385093168, loss: 0.2067190217120307
10folds, Phase1,At fold 3, seed 98809,round 3 we find one with acc: 92.54658385093168, loss: 0.2038458715083066
10folds, Phase1,At fold 4, seed 98809,round 1 we find one with acc: 93.125, loss: 0.2287226289510727
10folds, Phase1,At fold 4, seed 98809,round 2 we find one with acc: 92.5, loss: 0.19357060492038727
10folds, Phase1,At fold 4, seed 98809,round 3 we find one with acc: 95.0, loss: 0.1640908181667328
10folds, Phase1,At fold 5, seed 98809,round 1 we find one with acc: 93.75, loss: 0.19323055744171141
10folds, Phase1,At fold 5, seed 98809,round 2 we find one with acc: 94.375, loss: 0.1923332393169403
10folds, Phase1,At fold 5, seed 98809,round 3 we find one with acc: 94.375, loss: 0.17992719411849975
10folds, Phase1,At fold 6, seed 98809,round 1 we find one with acc: 93.75, loss: 0.16952638551592827
10folds, Phase1,At fold 6, seed 98809,round 2 we find one with acc: 93.125, loss: 0.16732542216777802
10folds, Phase1,At fold 6, seed 98809,round 3 we find one with acc: 91.25, loss: 0.23110247813165188
10folds, Phase1,At fold 7, seed 98809,round 1 we find one with acc: 92.5, loss: 0.19866794645786284
10folds, Phase1,At fold 7, seed 98809,round 2 we find one with acc: 90.625, loss: 0.23530159443616866
10folds, Phase1,At fold 7, seed 98809,round 3 we find one with acc: 91.875, loss: 0.2197135493159294
10folds, Phase1,At fold 8, seed 98809,round 1 we find one with acc: 90.625, loss: 0.2302789121866226
10folds, Phase1,At fold 8, seed 98809,round 2 we find one with acc: 91.875, loss: 0.21638171672821044
10folds, Phase1,At fold 8, seed 98809,round 3 we find one with acc: 91.25, loss: 0.2617922991514206
10folds, Phase1,At fold 9, seed 98809,round 1 we find one with acc: 91.875, loss: 0.2288915693759918
10folds, Phase1,At fold 9, seed 98809,round 2 we find one with acc: 95.0, loss: 0.17551931142807006
10folds, Phase1,At fold 9, seed 98809,round 3 we find one with acc: 96.25, loss: 0.1674143135547638
10folds, Phase1,At fold 0, seed 95338,round 1 we find one with acc: 91.92546583850931, loss: 0.2171931239944067
10folds, Phase1,At fold 0, seed 95338,round 2 we find one with acc: 92.54658385093168, loss: 0.18706801825243494
10folds, Phase1,At fold 0, seed 95338,round 3 we find one with acc: 91.92546583850931, loss: 0.25396053826216586
10folds, Phase1,At fold 1, seed 95338,round 1 we find one with acc: 94.40993788819875, loss: 0.18626145176265552
10folds, Phase1,At fold 1, seed 95338,round 2 we find one with acc: 95.03105590062111, loss: 0.15265735363738137
10folds, Phase1,At fold 1, seed 95338,round 3 we find one with acc: 95.65217391304348, loss: 0.13941749967403294
10folds, Phase1,At fold 2, seed 95338,round 1 we find one with acc: 93.7888198757764, loss: 0.16266109003043322
10folds, Phase1,At fold 2, seed 95338,round 2 we find one with acc: 96.8944099378882, loss: 0.11543630237072151
10folds, Phase1,At fold 2, seed 95338,round 3 we find one with acc: 96.8944099378882, loss: 0.13584551322765603
10folds, Phase1,At fold 3, seed 95338,round 1 we find one with acc: 91.30434782608695, loss: 0.18639271757247286
10folds, Phase1,At fold 3, seed 95338,round 2 we find one with acc: 93.16770186335404, loss: 0.1674956983846167
