10folds, Phase1, At fold 0, seed 9220,round 1 we find one with acc: 90.06211180124224, loss: 0.25641241901039336
10folds, Phase3,with augm, At fold 5, seed 2170,round 1 we find one with acc: 89.375, loss: 0.2513682544231415
10folds, Phase3,with augm, At fold 5, seed 2170,round 2 we find one with acc: 91.875, loss: 0.22409132719039918
10folds, Phase3,with augm, At fold 6, seed 2170,round 1 we find one with acc: 93.75, loss: 0.16519343554973603
10folds, Phase3,with augm, At fold 6, seed 2170,round 2 we find one with acc: 93.125, loss: 0.16909390389919282
10folds, Phase3,with augm, At fold 7, seed 2170,round 1 we find one with acc: 93.75, loss: 0.17486469447612762
10folds, Phase3,with augm, At fold 7, seed 2170,round 2 we find one with acc: 96.875, loss: 0.12502912282943726
10folds, Phase3,with augm, At fold 8, seed 2170,round 1 we find one with acc: 92.5, loss: 0.226381254196167
10folds, Phase3,with augm, At fold 8, seed 2170,round 2 we find one with acc: 93.125, loss: 0.22830969989299774
10folds, Phase3,with augm, At fold 9, seed 2170,round 1 we find one with acc: 94.375, loss: 0.15994667410850524
10folds, Phase3,with augm, At fold 9, seed 2170,round 2 we find one with acc: 93.125, loss: 0.18866937309503556
10folds, Phase4,with augm,no dense,At fold 0, seed 768,round 1 we find one with acc: 88.19875776397515, loss: 0.2802574336528778
10folds, Phase4,with augm,no dense,At fold 0, seed 768,round 2 we find one with acc: 90.6832298136646, loss: 0.2527864488385479
10folds, Phase4,with augm,no dense,At fold 0, seed 768,round 3 we find one with acc: 91.92546583850931, loss: 0.2469322307509665
10folds, Phase4,with augm,no dense,At fold 1, seed 768,round 1 we find one with acc: 91.92546583850931, loss: 0.1920585157523244
10folds, Phase4,with augm,no dense,At fold 1, seed 768,round 2 we find one with acc: 92.54658385093168, loss: 0.1796084061172438
10folds, Phase4,with augm,no dense,At fold 2, seed 768,round 1 we find one with acc: 93.7888198757764, loss: 0.15580936285279554
10folds, Phase4,with augm,no dense,At fold 2, seed 768,round 2 we find one with acc: 93.7888198757764, loss: 0.15600054840678754
10folds, Phase4,with augm,no dense,At fold 3, seed 768,round 1 we find one with acc: 92.54658385093168, loss: 0.19113417094723778
10folds, Phase4,with augm,no dense,At fold 3, seed 768,round 2 we find one with acc: 90.06211180124224, loss: 0.21316700248244386
10folds, Phase4,with augm,no dense,At fold 4, seed 768,round 1 we find one with acc: 91.25, loss: 0.3043908566236496
10folds, Phase4,with augm,no dense,At fold 4, seed 768,round 2 we find one with acc: 93.75, loss: 0.2535153150558472
10folds, Phase4,with augm,no dense,At fold 4, seed 768,round 3 we find one with acc: 91.875, loss: 0.2615768611431122
10folds, Phase4,with augm,no dense,At fold 5, seed 768,round 1 we find one with acc: 95.0, loss: 0.17895686328411103
10folds, Phase4,with augm,no dense,At fold 5, seed 768,round 2 we find one with acc: 93.75, loss: 0.20047987699508668
10folds, Phase4,with augm,no dense,At fold 6, seed 768,round 1 we find one with acc: 95.0, loss: 0.16928465962409972
10folds, Phase4,with augm,no dense,At fold 6, seed 768,round 2 we find one with acc: 96.25, loss: 0.1482841342687607
10folds, Phase4,with augm,no dense,At fold 7, seed 768,round 1 we find one with acc: 96.25, loss: 0.12956151217222214
10folds, Phase4,with augm,no dense,At fold 7, seed 768,round 2 we find one with acc: 96.875, loss: 0.12508011907339095
10folds, Phase4,with augm,no dense,At fold 8, seed 768,round 1 we find one with acc: 91.875, loss: 0.21355861574411392
10folds, Phase4,with augm,no dense,At fold 8, seed 768,round 2 we find one with acc: 90.625, loss: 0.2549864798784256
10folds, Phase4,with augm,no dense,At fold 9, seed 768,round 1 we find one with acc: 95.625, loss: 0.16234854906797408
10folds, Phase4,with augm,no dense,At fold 9, seed 768,round 2 we find one with acc: 95.625, loss: 0.16961601078510286
