Phase1, At fold 0, seed [33864],round 1 we find one with acc: 90.84745762711864, loss: 0.23743419323937368
Phase1, At fold 0, seed [33864],round 2 we find one with acc: 91.86440677966101, loss: 0.20961492940530937
Phase1, At fold 1, seed 33864,round 1 we find one with acc: 89.79591836734694, loss: 0.27762671159643704
Phase1, At fold 1, seed 33864,round 2 we find one with acc: 88.77551020408163, loss: 0.28265695821265785
Phase1, At fold 2, seed 33864,round 1 we find one with acc: 94.89795918367346, loss: 0.16098375871878903
Phase1, At fold 2, seed 33864,round 2 we find one with acc: 94.5578231292517, loss: 0.15605350918307595
Phase1, At fold 3, seed 33864,round 1 we find one with acc: 91.15646258503402, loss: 0.24878086889682172
Phase1, At fold 3, seed 33864,round 2 we find one with acc: 89.45578231292517, loss: 0.271390911673202
Phase1, At fold 4, seed 33864,round 1 we find one with acc: 89.79591836734694, loss: 0.25106191554037083
Phase1, At fold 4, seed 33864,round 2 we find one with acc: 90.81632653061224, loss: 0.21282833682841995
10folds, Phase2,with aug, At fold 9, seed 23860,round 1 we find one with acc: 92.5, loss: 0.2203081488609314
10folds, Phase2,with aug, At fold 9, seed 23860,round 2 we find one with acc: 94.375, loss: 0.20009396672248841
10folds, Phase2,with aug, At fold 9, seed 23860,round 3 we find one with acc: 93.75, loss: 0.1788228675723076
10folds, Phase2,with aug, At fold 0, seed 26320,round 1 we find one with acc: 93.7888198757764, loss: 0.20280432275363378
10folds, Phase2,with aug, At fold 0, seed 26320,round 2 we find one with acc: 91.30434782608695, loss: 0.20060717874432202
10folds, Phase2,with aug, At fold 0, seed 26320,round 3 we find one with acc: 91.92546583850931, loss: 0.19614643043612842
10folds, Phase2,with aug, At fold 1, seed 26320,round 1 we find one with acc: 93.7888198757764, loss: 0.2159437716747663
10folds, Phase2,with aug, At fold 1, seed 26320,round 2 we find one with acc: 92.54658385093168, loss: 0.22255830596322598
10folds, Phase2,with aug, At fold 1, seed 26320,round 3 we find one with acc: 91.92546583850931, loss: 0.2161956315640337
10folds, Phase2,with aug, At fold 2, seed 26320,round 1 we find one with acc: 95.65217391304348, loss: 0.16495095036044624
10folds, Phase2,with aug, At fold 2, seed 26320,round 2 we find one with acc: 93.7888198757764, loss: 0.22033399556364333
10folds, Phase2,with aug, At fold 3, seed 26320,round 1 we find one with acc: 92.54658385093168, loss: 0.17895849132389754
10folds, Phase2,with aug, At fold 3, seed 26320,round 2 we find one with acc: 94.40993788819875, loss: 0.15141874264856303
10folds, Phase2,with aug, At fold 4, seed 26320,round 1 we find one with acc: 88.75, loss: 0.2673234105110168
10folds, Phase2,with aug, At fold 4, seed 26320,round 2 we find one with acc: 90.0, loss: 0.2573106050491333
10folds, Phase2,with aug, At fold 4, seed 26320,round 3 we find one with acc: 90.0, loss: 0.24522590041160583
10folds, Phase2,with aug, At fold 5, seed 26320,round 1 we find one with acc: 93.125, loss: 0.19199223592877387
10folds, Phase2,with aug, At fold 5, seed 26320,round 2 we find one with acc: 90.625, loss: 0.23826231360435485
10folds, Phase2,with aug, At fold 6, seed 26320,round 1 we find one with acc: 93.125, loss: 0.23435863852500916
10folds, Phase2,with aug, At fold 6, seed 26320,round 2 we find one with acc: 91.875, loss: 0.23452865183353425
10folds, Phase2,with aug, At fold 6, seed 26320,round 3 we find one with acc: 92.5, loss: 0.23980043232440948
10folds, Phase2,with aug, At fold 7, seed 26320,round 1 we find one with acc: 93.75, loss: 0.19336769580841065
10folds, Phase2,with aug, At fold 7, seed 26320,round 2 we find one with acc: 92.5, loss: 0.178410342335701
10folds, Phase2,with aug, At fold 8, seed 26320,round 1 we find one with acc: 96.25, loss: 0.12894824743270875
10folds, Phase2,with aug, At fold 8, seed 26320,round 2 we find one with acc: 97.5, loss: 0.11526270434260369
10folds, Phase2,with aug, At fold 9, seed 26320,round 1 we find one with acc: 98.125, loss: 0.11882836967706681
10folds, Phase2,with aug, At fold 9, seed 26320,round 2 we find one with acc: 96.875, loss: 0.11746168062090874
10folds, Phase2,with aug, At fold 0, seed 26576,round 1 we find one with acc: 88.81987577639751, loss: 0.2556805417219304
10folds, Phase2,with aug, At fold 0, seed 26576,round 2 we find one with acc: 90.06211180124224, loss: 0.2469954447161337
10folds, Phase2,with aug, At fold 0, seed 26576,round 3 we find one with acc: 90.6832298136646, loss: 0.22635808156699128
10folds, Phase2,with aug, At fold 1, seed 26576,round 1 we find one with acc: 90.6832298136646, loss: 0.23418627600677266
10folds, Phase2,with aug, At fold 1, seed 26576,round 2 we find one with acc: 91.30434782608695, loss: 0.2058477928364499
10folds, Phase2,with aug, At fold 1, seed 26576,round 3 we find one with acc: 93.7888198757764, loss: 0.19224824594414752
10folds, Phase2,with aug, At fold 2, seed 26576,round 1 we find one with acc: 92.54658385093168, loss: 0.21258951834640147
10folds, Phase2,with aug, At fold 2, seed 26576,round 2 we find one with acc: 93.16770186335404, loss: 0.1994070429239214
10folds, Phase2,with aug, At fold 3, seed 26576,round 1 we find one with acc: 95.03105590062111, loss: 0.16610108926799727
10folds, Phase2,with aug, At fold 3, seed 26576,round 2 we find one with acc: 94.40993788819875, loss: 0.159832681095378
10folds, Phase2,with aug, At fold 4, seed 26576,round 1 we find one with acc: 96.25, loss: 0.1523599475622177
10folds, Phase2,with aug, At fold 4, seed 26576,round 2 we find one with acc: 95.625, loss: 0.1502698056399822
10folds, Phase2,with aug, At fold 5, seed 26576,round 1 we find one with acc: 90.625, loss: 0.2527693808078766
